Timestamp,type,alk small,alk small percent,alk large,alk large percent,, cz small,cz small percent,cz large,cz large percent,,lithium small,lithium small percent,lithium large,lithium large percent,,nimh small,nimh small percent,nimh large,nimh large percent,,
0018-11-23 15:19:00,alkaline,3.08,99.6763754,2.92,94.49838188,CarbZinc,3.16,98.13664596,2.82,87.57763975,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.7,95.74468085,,
0018-11-23 15:20:00,alkaline,3.08,99.6763754,2.92,94.49838188,CarbZinc,3.16,98.13664596,2.81,87.26708075,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.7,95.74468085,,
0018-11-23 15:21:00,alkaline,3.08,99.6763754,2.92,94.49838188,CarbZinc,3.16,98.13664596,2.81,87.26708075,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.69,95.39007092,,
0018-11-23 15:22:00,alkaline,3.08,99.6763754,2.91,94.17475728,CarbZinc,3.16,98.13664596,2.8,86.95652174,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.69,95.39007092,,
0018-11-23 15:23:00,alkaline,3.08,99.6763754,2.91,94.17475728,CarbZinc,3.16,98.13664596,2.8,86.95652174,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.69,95.39007092,,
0018-11-23 15:24:00,alkaline,3.08,99.6763754,2.91,94.17475728,CarbZinc,3.15,97.82608696,2.8,86.95652174,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.69,95.39007092,,
0018-11-23 15:25:00,alkaline,3.08,99.6763754,2.91,94.17475728,CarbZinc,3.15,97.82608696,2.79,86.64596273,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.69,95.39007092,,
0018-11-23 15:26:00,alkaline,3.08,99.6763754,2.9,93.85113269,CarbZinc,3.15,97.82608696,2.79,86.64596273,Lithium,3.31,96.22093023,3.02,87.79069767,NiMH,2.8,99.29078014,2.69,95.39007092,,
0018-11-23 15:27:00,alkaline,3.08,99.6763754,2.9,93.85113269,CarbZinc,3.15,97.82608696,2.79,86.64596273,Lithium,3.32,96.51162791,3.02,87.79069767,NiMH,2.8,99.29078014,2.68,95.03546099,,
0018-11-23 15:28:00,alkaline,3.08,99.6763754,2.9,93.85113269,CarbZinc,3.15,97.82608696,2.79,86.64596273,Lithium,3.32,96.51162791,3.02,87.79069767,NiMH,2.8,99.29078014,2.68,95.03546099,,
0018-11-23 15:29:00,alkaline,3.08,99.6763754,2.9,93.85113269,CarbZinc,3.15,97.82608696,2.79,86.64596273,Lithium,3.32,96.51162791,3.02,87.79069767,NiMH,2.8,99.29078014,2.68,95.03546099,,
0018-11-23 15:30:00,alkaline,3.07,99.35275081,2.9,93.85113269,CarbZinc,3.15,97.82608696,2.78,86.33540373,Lithium,3.32,96.51162791,3.02,87.79069767,NiMH,2.8,99.29078014,2.68,95.03546099,,
0018-11-23 15:31:00,alkaline,3.07,99.35275081,2.89,93.52750809,CarbZinc,3.14,97.51552795,2.78,86.33540373,Lithium,3.32,96.51162791,3.02,87.79069767,NiMH,2.8,99.29078014,2.68,95.03546099,,
0018-11-23 15:32:00,alkaline,3.07,99.35275081,2.89,93.52750809,CarbZinc,3.14,97.51552795,2.78,86.33540373,Lithium,3.32,96.51162791,3.02,87.79069767,NiMH,2.8,99.29078014,2.68,95.03546099,,
0018-11-23 15:33:00,alkaline,3.07,99.35275081,2.89,93.52750809,CarbZinc,3.14,97.51552795,2.77,86.02484472,Lithium,3.32,96.51162791,3.02,87.79069767,NiMH,2.8,99.29078014,2.67,94.68085106,,
0018-11-23 15:34:00,alkaline,3.07,99.35275081,2.89,93.52750809,CarbZinc,3.14,97.51552795,2.77,86.02484472,Lithium,3.33,96.80232558,3.02,87.79069767,NiMH,2.8,99.29078014,2.67,94.68085106,,
0018-11-23 15:35:00,alkaline,3.07,99.35275081,2.89,93.52750809,CarbZinc,3.14,97.51552795,2.77,86.02484472,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.8,99.29078014,2.67,94.68085106,,
0018-11-23 15:36:00,alkaline,3.07,99.35275081,2.88,93.2038835,CarbZinc,3.14,97.51552795,2.77,86.02484472,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.8,99.29078014,2.67,94.68085106,,
0018-11-23 15:37:00,alkaline,3.07,99.35275081,2.88,93.2038835,CarbZinc,3.14,97.51552795,2.77,86.02484472,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.8,99.29078014,2.67,94.68085106,,
0018-11-23 15:38:00,alkaline,3.07,99.35275081,2.88,93.2038835,CarbZinc,3.13,97.20496894,2.77,86.02484472,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.79,98.93617021,2.67,94.68085106,,
0018-11-23 15:39:00,alkaline,3.07,99.35275081,2.88,93.2038835,CarbZinc,3.13,97.20496894,2.77,86.02484472,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.79,98.93617021,2.67,94.68085106,,
0018-11-23 15:40:00,alkaline,3.07,99.35275081,2.88,93.2038835,CarbZinc,3.13,97.20496894,2.76,85.71428571,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.79,98.93617021,2.66,94.32624113,,
0018-11-23 15:41:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.13,97.20496894,2.76,85.71428571,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.79,98.93617021,2.66,94.32624113,,
0018-11-23 15:42:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.13,97.20496894,2.76,85.71428571,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.79,98.93617021,2.66,94.32624113,,
0018-11-23 15:43:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.13,97.20496894,2.76,85.71428571,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.79,98.93617021,2.66,94.32624113,,
0018-11-23 15:44:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.13,97.20496894,2.76,85.71428571,Lithium,3.33,96.80232558,3.01,87.5,NiMH,2.79,98.93617021,2.66,94.32624113,,
0018-11-23 15:45:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.13,97.20496894,2.75,85.40372671,Lithium,3.34,97.09302326,3.01,87.5,NiMH,2.79,98.93617021,2.66,94.32624113,,
0018-11-23 15:46:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.12,96.89440994,2.75,85.40372671,Lithium,3.34,97.09302326,3.01,87.5,NiMH,2.79,98.93617021,2.66,94.32624113,,
0018-11-23 15:47:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.12,96.89440994,2.75,85.40372671,Lithium,3.34,97.09302326,3.01,87.5,NiMH,2.79,98.93617021,2.65,93.97163121,,
