[18-11-23 16:04:43 59.932123] , alkaline, Small Load, 3.06, Large Load, 2.84
[18-11-23 16:05:43 59.932368] , alkaline, Small Load, 3.06, Large Load, 2.84
[18-11-23 16:06:42 59.930504] , alkaline, Small Load, 3.06, Large Load, 2.84
[18-11-23 16:07:42 59.929696] , alkaline, Small Load, 3.06, Large Load, 2.84
[18-11-23 16:08:42 59.930280] , alkaline, Small Load, 3.06, Large Load, 2.84
[18-11-23 16:09:42 59.928825] , alkaline, Small Load, 3.06, Large Load, 2.83
[18-11-23 16:10:42 59.928600] , alkaline, Small Load, 3.06, Large Load, 2.83
[18-11-23 16:11:42 59.929134] , alkaline, Small Load, 3.06, Large Load, 2.83
[18-11-23 16:12:42 59.927927] , alkaline, Small Load, 3.06, Large Load, 2.83
[18-11-23 16:13:42 59.927808] , alkaline, Small Load, 3.06, Large Load, 2.83
[18-11-23 16:14:42 59.928787] , alkaline, Small Load, 3.06, Large Load, 2.83
[18-11-23 16:15:42 59.927630] , alkaline, Small Load, 3.06, Large Load, 2.83
[18-11-23 16:16:42 59.927589] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:17:42 59.929797] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:18:42 59.930042] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:19:42 59.930805] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:20:41 59.929589] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:21:41 59.929279] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:22:41 59.930030] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:23:41 59.928714] , alkaline, Small Load, 3.06, Large Load, 2.82
[18-11-23 16:24:41 59.928751] , alkaline, Small Load, 3.06, Large Load, 2.81
[18-11-23 16:25:41 59.929518] , alkaline, Small Load, 3.06, Large Load, 2.81
[18-11-23 16:26:41 59.928374] , alkaline, Small Load, 3.06, Large Load, 2.81
[18-11-23 16:27:41 59.928389] , alkaline, Small Load, 3.06, Large Load, 2.81
[18-11-23 16:28:41 59.929121] , alkaline, Small Load, 3.05, Large Load, 2.81
[18-11-23 16:29:41 59.928039] , alkaline, Small Load, 3.05, Large Load, 2.81
[18-11-23 16:30:41 59.927763] , alkaline, Small Load, 3.05, Large Load, 2.81
[18-11-23 16:31:41 59.928631] , alkaline, Small Load, 3.05, Large Load, 2.81
[18-11-23 16:32:41 59.927675] , alkaline, Small Load, 3.05, Large Load, 2.81
[18-11-23 16:33:41 59.927665] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:34:40 59.928671] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:35:40 59.928426] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:36:40 59.927493] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:37:40 59.927790] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:38:40 59.928399] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:39:40 59.926425] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:40:40 59.928330] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:41:40 59.928574] , alkaline, Small Load, 3.05, Large Load, 2.80
[18-11-23 16:42:40 59.926269] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:43:40 59.928601] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:44:40 59.928538] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:45:40 59.926521] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:46:40 59.928666] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:47:40 59.928693] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:48:39 59.926438] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:49:39 59.928562] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:50:39 59.928672] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:51:39 59.928928] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:52:39 59.932035] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:53:39 59.932368] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:54:39 59.930983] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:55:39 59.930654] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:56:39 59.931336] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:57:39 59.930109] , alkaline, Small Load, 3.05, Large Load, 2.79
[18-11-23 16:58:39 59.929719] , alkaline, Small Load, 3.05, Large Load, 2.78
[18-11-23 16:59:39 59.930637] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:00:39 59.929405] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:01:39 59.929506] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:02:38 59.930296] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:03:38 59.928940] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:04:38 59.928877] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:05:38 59.930044] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:06:38 59.928877] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:07:38 59.929562] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:08:38 59.928928] , alkaline, Small Load, 3.04, Large Load, 2.78
[18-11-23 17:09:38 59.928554] , alkaline, Small Load, 3.04, Large Load, 2.78
