[18-11-23 16:01:22 60.002218] , CarbZinc, Small Load, 3.11, Large Load, 2.73
[18-11-23 16:02:22 60.000288] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:03:22 59.996171] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:04:22 59.997125] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:05:22 59.995963] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:06:22 59.993083] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:07:22 59.994365] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:08:22 59.993864] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:09:22 59.991389] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:10:22 59.993198] , CarbZinc, Small Load, 3.10, Large Load, 2.72
[18-11-23 16:11:22 59.992831] , CarbZinc, Small Load, 3.10, Large Load, 2.71
[18-11-23 16:12:22 59.991611] , CarbZinc, Small Load, 3.10, Large Load, 2.71
[18-11-23 16:13:22 59.991466] , CarbZinc, Small Load, 3.10, Large Load, 2.71
[18-11-23 16:14:22 59.992284] , CarbZinc, Small Load, 3.10, Large Load, 2.71
[18-11-23 16:15:22 59.991204] , CarbZinc, Small Load, 3.09, Large Load, 2.71
[18-11-23 16:16:22 59.991101] , CarbZinc, Small Load, 3.09, Large Load, 2.71
[18-11-23 16:17:22 59.992448] , CarbZinc, Small Load, 3.09, Large Load, 2.70
[18-11-23 16:18:22 59.993831] , CarbZinc, Small Load, 3.09, Large Load, 2.70
[18-11-23 16:19:22 59.993678] , CarbZinc, Small Load, 3.09, Large Load, 2.70
[18-11-23 16:20:22 59.994118] , CarbZinc, Small Load, 3.09, Large Load, 2.70
[18-11-23 16:21:22 59.993076] , CarbZinc, Small Load, 3.09, Large Load, 2.70
[18-11-23 16:22:22 59.992749] , CarbZinc, Small Load, 3.09, Large Load, 2.70
[18-11-23 16:23:21 59.993767] , CarbZinc, Small Load, 3.09, Large Load, 2.69
[18-11-23 16:24:21 59.992114] , CarbZinc, Small Load, 3.09, Large Load, 2.69
[18-11-23 16:25:21 59.992071] , CarbZinc, Small Load, 3.08, Large Load, 2.69
[18-11-23 16:26:21 59.993139] , CarbZinc, Small Load, 3.08, Large Load, 2.69
[18-11-23 16:27:21 59.991716] , CarbZinc, Small Load, 3.08, Large Load, 2.69
[18-11-23 16:28:21 59.992647] , CarbZinc, Small Load, 3.08, Large Load, 2.69
[18-11-23 16:29:21 59.991365] , CarbZinc, Small Load, 3.08, Large Load, 2.69
[18-11-23 16:30:21 59.991549] , CarbZinc, Small Load, 3.08, Large Load, 2.68
[18-11-23 16:31:21 59.992273] , CarbZinc, Small Load, 3.08, Large Load, 2.68
[18-11-23 16:32:21 59.991234] , CarbZinc, Small Load, 3.08, Large Load, 2.68
[18-11-23 16:33:21 59.991078] , CarbZinc, Small Load, 3.08, Large Load, 2.68
[18-11-23 16:34:21 59.992303] , CarbZinc, Small Load, 3.08, Large Load, 2.68
[18-11-23 16:35:21 59.991026] , CarbZinc, Small Load, 3.08, Large Load, 2.68
[18-11-23 16:36:21 59.991112] , CarbZinc, Small Load, 3.08, Large Load, 2.67
[18-11-23 16:37:21 59.992181] , CarbZinc, Small Load, 3.07, Large Load, 2.67
[18-11-23 16:38:21 59.991274] , CarbZinc, Small Load, 3.07, Large Load, 2.67
[18-11-23 16:39:21 59.991157] , CarbZinc, Small Load, 3.07, Large Load, 2.67
[18-11-23 16:40:21 59.992127] , CarbZinc, Small Load, 3.07, Large Load, 2.67
[18-11-23 16:41:21 59.991131] , CarbZinc, Small Load, 3.07, Large Load, 2.67
[18-11-23 16:42:21 59.991223] , CarbZinc, Small Load, 3.07, Large Load, 2.67
[18-11-23 16:43:21 59.992103] , CarbZinc, Small Load, 3.07, Large Load, 2.66
[18-11-23 16:44:21 59.992125] , CarbZinc, Small Load, 3.07, Large Load, 2.66
[18-11-23 16:45:21 59.991159] , CarbZinc, Small Load, 3.07, Large Load, 2.66
[18-11-23 16:46:21 59.991286] , CarbZinc, Small Load, 3.07, Large Load, 2.66
[18-11-23 16:47:21 59.992218] , CarbZinc, Small Load, 3.07, Large Load, 2.66
[18-11-23 16:48:21 59.990015] , CarbZinc, Small Load, 3.06, Large Load, 2.66
[18-11-23 16:49:21 59.992059] , CarbZinc, Small Load, 3.06, Large Load, 2.66
[18-11-23 16:50:21 59.992147] , CarbZinc, Small Load, 3.06, Large Load, 2.66
[18-11-23 16:51:21 59.989958] , CarbZinc, Small Load, 3.06, Large Load, 2.65
[18-11-23 16:52:21 59.996771] , CarbZinc, Small Load, 3.06, Large Load, 2.65
[18-11-23 16:53:21 59.996219] , CarbZinc, Small Load, 3.06, Large Load, 2.65
[18-11-23 16:54:21 59.993702] , CarbZinc, Small Load, 3.06, Large Load, 2.65
[18-11-23 16:55:21 59.995297] , CarbZinc, Small Load, 3.06, Large Load, 2.65
[18-11-23 16:56:21 59.995074] , CarbZinc, Small Load, 3.06, Large Load, 2.65
[18-11-23 16:57:21 59.992720] , CarbZinc, Small Load, 3.06, Large Load, 2.65
[18-11-23 16:58:21 59.994611] , CarbZinc, Small Load, 3.06, Large Load, 2.64
[18-11-23 16:59:21 59.994181] , CarbZinc, Small Load, 3.06, Large Load, 2.64
[18-11-23 17:00:21 59.993281] , CarbZinc, Small Load, 3.06, Large Load, 2.64
[18-11-23 17:01:21 59.992840] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:02:21 59.993991] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:03:21 59.992633] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:04:21 59.992496] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:05:21 59.993406] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:06:21 59.992496] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:07:21 59.992401] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:08:21 59.993064] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:09:21 59.992177] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:10:21 59.992199] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:11:21 59.992988] , CarbZinc, Small Load, 3.05, Large Load, 2.64
[18-11-23 17:12:21 59.991743] , CarbZinc, Small Load, 3.05, Large Load, 2.63
[18-11-23 17:13:21 59.991636] , CarbZinc, Small Load, 3.05, Large Load, 2.63
[18-11-23 17:14:21 59.992755] , CarbZinc, Small Load, 3.05, Large Load, 2.63
[18-11-23 17:15:21 59.991527] , CarbZinc, Small Load, 3.04, Large Load, 2.63
[18-11-23 17:16:21 59.992520] , CarbZinc, Small Load, 3.04, Large Load, 2.63
[18-11-23 17:17:21 59.991499] , CarbZinc, Small Load, 3.04, Large Load, 2.63
[18-11-23 17:18:21 59.991376] , CarbZinc, Small Load, 3.04, Large Load, 2.63
[18-11-23 17:19:21 59.992277] , CarbZinc, Small Load, 3.04, Large Load, 2.63
[18-11-23 17:20:21 59.991323] , CarbZinc, Small Load, 3.04, Large Load, 2.63
[18-11-23 17:21:21 59.991193] , CarbZinc, Small Load, 3.04, Large Load, 2.63
[18-11-23 17:22:21 59.992075] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:23:21 59.991162] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:24:21 59.991246] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:25:21 59.992179] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:26:21 59.993529] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:27:21 59.993490] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:28:21 59.994216] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:29:21 59.993243] , CarbZinc, Small Load, 3.03, Large Load, 2.62
[18-11-23 17:30:21 59.993155] , CarbZinc, Small Load, 3.03, Large Load, 2.61
[18-11-23 17:31:21 59.993709] , CarbZinc, Small Load, 3.03, Large Load, 2.61
[18-11-23 17:32:21 59.993744] , CarbZinc, Small Load, 3.03, Large Load, 2.61
[18-11-23 17:33:21 59.992713] , CarbZinc, Small Load, 3.03, Large Load, 2.61
[18-11-23 17:34:21 59.992419] , CarbZinc, Small Load, 3.05, Large Load, 2.63
[18-11-23 17:35:21 59.993548] , CarbZinc, Small Load, 3.05, Large Load, 2.63
[18-11-23 17:36:21 59.991546] , CarbZinc, Small Load, 3.05, Large Load, 2.62
[18-11-23 17:37:21 59.993246] , CarbZinc, Small Load, 3.05, Large Load, 2.62
[18-11-23 17:38:21 59.993513] , CarbZinc, Small Load, 3.05, Large Load, 2.62
[18-11-23 17:39:21 59.991343] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:40:21 59.993311] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:41:21 59.993235] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:42:21 59.991234] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:43:21 59.992835] , CarbZinc, Small Load, 3.04, Large Load, 2.62
[18-11-23 17:44:21 59.993181] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:45:21 59.991136] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:46:21 59.992909] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:47:21 59.993192] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:48:21 59.992149] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:49:21 59.991876] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:50:21 59.993313] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:51:21 59.991627] , CarbZinc, Small Load, 3.04, Large Load, 2.61
[18-11-23 17:52:21 59.992131] , CarbZinc, Small Load, 3.03, Large Load, 2.61
[18-11-23 17:53:21 59.993037] , CarbZinc, Small Load, 3.03, Large Load, 2.61
[18-11-23 17:54:21 59.991761] , CarbZinc, Small Load, 3.03, Large Load, 2.61
[18-11-23 17:55:21 59.992111] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 17:56:21 59.992904] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 17:57:21 59.991796] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 17:58:21 59.991896] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 17:59:21 59.992907] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:00:21 59.992633] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:01:21 59.992792] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:02:21 59.993628] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:03:21 59.992700] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:04:21 59.993578] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:05:21 59.992447] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:06:21 59.992716] , CarbZinc, Small Load, 3.03, Large Load, 2.60
[18-11-23 18:07:21 59.993416] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:08:21 59.992501] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:09:21 59.992109] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:10:21 59.993435] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:11:21 59.992445] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:12:21 59.992257] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:13:21 59.993371] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:14:21 59.992154] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:15:21 59.992272] , CarbZinc, Small Load, 3.03, Large Load, 2.59
[18-11-23 18:16:21 59.993019] , CarbZinc, Small Load, 3.02, Large Load, 2.59
[18-11-23 18:17:21 59.992128] , CarbZinc, Small Load, 3.02, Large Load, 2.59
[18-11-23 18:18:21 59.992150] , CarbZinc, Small Load, 3.02, Large Load, 2.59
[18-11-23 18:19:21 59.993177] , CarbZinc, Small Load, 3.02, Large Load, 2.59
[18-11-23 18:20:21 59.993150] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:21:21 59.992127] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:22:21 59.992183] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:23:21 59.993146] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:24:21 59.991045] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:25:21 59.993167] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:26:21 59.992937] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:27:21 59.991073] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:28:21 59.993203] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:29:21 59.993071] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:30:21 59.991209] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:31:21 59.993017] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:32:21 59.992939] , CarbZinc, Small Load, 3.02, Large Load, 2.58
[18-11-23 18:33:21 59.991099] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:34:21 59.993381] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:35:21 59.993485] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:36:20 59.992488] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:37:20 59.992468] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:38:20 59.993373] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:39:20 59.992391] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:40:20 59.992041] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:41:20 59.993334] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:42:20 59.991987] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:43:20 59.991999] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:44:20 59.993311] , CarbZinc, Small Load, 3.01, Large Load, 2.57
[18-11-23 18:45:20 59.991814] , CarbZinc, Small Load, 3.01, Large Load, 2.56
[18-11-23 18:46:20 59.992334] , CarbZinc, Small Load, 3.01, Large Load, 2.56
[18-11-23 18:47:20 59.992724] , CarbZinc, Small Load, 3.01, Large Load, 2.56
