[18-11-23 16:04:27 59.945136] , NiMH, Small Load, 2.79, Large Load, 2.63
[18-11-23 16:05:27 59.942939] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:06:27 59.942188] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:07:27 59.942744] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:08:27 59.941823] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:09:27 59.940663] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:10:27 59.940055] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:11:27 59.941008] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:12:26 59.938572] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:13:26 59.940610] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:14:26 59.940458] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:15:26 59.938083] , NiMH, Small Load, 2.78, Large Load, 2.63
[18-11-23 16:16:26 59.940248] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:17:26 59.940731] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:18:26 59.940885] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:19:26 59.942496] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:20:26 59.942209] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:21:26 59.940101] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:22:26 59.941926] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:23:26 59.941672] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:24:26 59.940585] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:25:26 59.940300] , NiMH, Small Load, 2.78, Large Load, 2.62
[18-11-23 16:26:26 59.941284] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:27:26 59.940001] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:28:25 59.939959] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:29:25 59.940573] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:30:25 59.939600] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:31:25 59.939442] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:32:25 59.940196] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:33:25 59.939352] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:34:25 59.939108] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:35:25 59.940197] , NiMH, Small Load, 2.78, Large Load, 2.61
[18-11-23 16:36:25 59.939133] , NiMH, Small Load, 2.78, Large Load, 2.60
[18-11-23 16:37:25 59.939347] , NiMH, Small Load, 2.78, Large Load, 2.60
